"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
44,4101,72340,6364,6364,2020,"Aston Martin",Vantage,AMR,"AMR 59 Edition","AMR 59 Edition 2dr Coupe (4.0L 8cyl Turbo 7M)",19.3,17,14,21,270,405,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,4101,72340,6363,6363,2020,"Aston Martin",Vantage,AMR,"AMR Hero","AMR Hero 2dr Coupe (4.0L 8cyl Turbo 7M)",19.3,17,14,21,270,405,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,4101,72341,6362,6362,2020,"Aston Martin",Vantage,Base,Base,"2dr Coupe (4.0L 8cyl Turbo 8A)",19.3,20,18,24,347,463,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6478,72389,6365,6365,2020,Audi,A3,Premium,"Sport Premium","Sport Premium 4dr Sedan (2.0L 4cyl Turbo 7AM)",13.2,30,27,36,356,475,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6478,72390,6366,6366,2020,Audi,A3,"Premium Plus","Sport Premium Plus","Sport Premium Plus 4dr Sedan (2.0L 4cyl Turbo 7AM)",13.2,30,27,36,356,475,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6479,72392,6368,6368,2020,Audi,"A3 Quattro","Premium Plus","Premium Plus S line","Premium Plus S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM)",14.5,25,22,30,319,435,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,6479,72391,6367,6367,2020,Audi,"A3 Quattro",Premium,"Premium S line","Premium S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM)",14.5,25,22,30,319,435,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5712,72429,6369,6369,2020,Audi,A4,Premium,Premium,"Premium 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",15.3,30,27,35,413,536,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5712,72430,6371,6371,2020,Audi,A4,"Premium Plus","Premium Plus","Premium Plus 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",15.3,30,27,35,413,536,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,5712,72428,6373,6373,2020,Audi,A4,PRESTIGE,Prestige,"Prestige 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM)",15.3,30,27,35,413,536,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
2,7188,72352,6375,6375,2020,Audi,"A4 allroad",Premium,Premium,"Premium 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
